ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal,Google_Searches,Temp_Avg_Fahrenheit,Prcp_Avg_Inches
Acadia National Park,ACAD,National Park,Northeast ,ME,2005,1,10810,600,71346,600,0,0,24,15,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2005,2051484,47100,10568105,47100,0,0,85815,19302,1157,0,5378,30,22.3,3.910999999999999
Acadia National Park,ACAD,National Park,Northeast ,ME,2005,2,11831,600,78086,600,0,0,39,18,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2005,2051484,47100,10568105,47100,0,0,85815,19302,1157,0,5378,30,23.3,3.908
Acadia National Park,ACAD,National Park,Northeast ,ME,2005,3,18917,600,124854,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2005,2051484,47100,10568105,47100,0,0,85815,19302,1157,0,5378,28,30.819999999999993,3.3590000000000004
Acadia National Park,ACAD,National Park,Northeast ,ME,2005,4,59773,600,346683,600,0,0,888,6,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2005,2051484,47100,10568105,47100,0,0,85815,19302,1157,0,5378,44,41.599999999999994,4.482
Acadia National Park,ACAD,National Park,Northeast ,ME,2005,5,110330,7500,628052,7500,0,0,4011,834,63,0,187,Acadia NP,ACAD,National Park,Northeast ,ME,2005,2051484,47100,10568105,47100,0,0,85815,19302,1157,0,5378,58,52.17999999999999,3.817
Acadia National Park,ACAD,National Park,Northeast ,ME,2005,6,275175,7500,1558937,7500,0,0,11058,2808,159,0,629,Acadia NP,ACAD,National Park,Northeast ,ME,2005,2051484,47100,10568105,47100,0,0,85815,19302,1157,0,5378,74,60.84999999999999,4.831000000000001
Acadia National Park,ACAD,National Park,Northeast ,ME,2005,7,468512,7500,2313401,7500,0,0,24099,5145,301,0,1657,Acadia NP,ACAD,National Park,Northeast ,ME,2005,2051484,47100,10568105,47100,0,0,85815,19302,1157,0,5378,75,67.55,3.0090000000000003
Acadia National Park,ACAD,National Park,Northeast ,ME,2005,8,519350,7500,2533618,7500,0,0,28812,6039,396,0,1794,Acadia NP,ACAD,National Park,Northeast ,ME,2005,2051484,47100,10568105,47100,0,0,85815,19302,1157,0,5378,63,67.16,3.2050000000000005
Acadia National Park,ACAD,National Park,Northeast ,ME,2005,9,321070,7500,1489505,7500,0,0,12978,3351,204,0,870,Acadia NP,ACAD,National Park,Northeast ,ME,2005,2051484,47100,10568105,47100,0,0,85815,19302,1157,0,5378,32,59.709999999999994,4.158
Acadia National Park,ACAD,National Park,Northeast ,ME,2005,10,207599,6000,1134918,6000,0,0,3906,1086,34,0,241,Acadia NP,ACAD,National Park,Northeast ,ME,2005,2051484,47100,10568105,47100,0,0,85815,19302,1157,0,5378,19,49.25,5.0520000000000005
Acadia National Park,ACAD,National Park,Northeast ,ME,2005,11,37101,600,222607,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2005,2051484,47100,10568105,47100,0,0,85815,19302,1157,0,5378,18,36.709999999999994,5.1259999999999994
Acadia National Park,ACAD,National Park,Northeast ,ME,2005,12,11016,600,66098,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2005,2051484,47100,10568105,47100,0,0,85815,19302,1157,0,5378,18,27.479999999999997,5.656000000000001
Acadia National Park,ACAD,National Park,Northeast ,ME,2006,1,13494,600,89063,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2006,2083588,47100,10720555,47100,0,0,96252,22299,1306,0,7300,17,22.3,3.910999999999999
Acadia National Park,ACAD,National Park,Northeast ,ME,2006,2,12924,600,85298,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2006,2083588,47100,10720555,47100,0,0,96252,22299,1306,0,7300,22,23.3,3.908
Acadia National Park,ACAD,National Park,Northeast ,ME,2006,3,21695,600,143188,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2006,2083588,47100,10720555,47100,0,0,96252,22299,1306,0,7300,27,30.819999999999993,3.3590000000000004
Acadia National Park,ACAD,National Park,Northeast ,ME,2006,4,59034,600,342396,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2006,2083588,47100,10720555,47100,0,0,96252,22299,1306,0,7300,33,41.599999999999994,4.482
Acadia National Park,ACAD,National Park,Northeast ,ME,2006,5,120889,7500,693274,7500,0,0,4005,882,90,0,400,Acadia NP,ACAD,National Park,Northeast ,ME,2006,2083588,47100,10720555,47100,0,0,96252,22299,1306,0,7300,43,52.17999999999999,3.817
Acadia National Park,ACAD,National Park,Northeast ,ME,2006,6,244333,7500,1370876,7500,0,0,11661,2865,221,0,960,Acadia NP,ACAD,National Park,Northeast ,ME,2006,2083588,47100,10720555,47100,0,0,96252,22299,1306,0,7300,43,60.84999999999999,4.831000000000001
Acadia National Park,ACAD,National Park,Northeast ,ME,2006,7,476631,7500,2342793,7500,0,0,28701,5049,343,0,2266,Acadia NP,ACAD,National Park,Northeast ,ME,2006,2083588,47100,10720555,47100,0,0,96252,22299,1306,0,7300,59,67.55,3.0090000000000003
Acadia National Park,ACAD,National Park,Northeast ,ME,2006,8,506833,7500,2491536,7500,0,0,33684,5931,392,0,2477,Acadia NP,ACAD,National Park,Northeast ,ME,2006,2083588,47100,10720555,47100,0,0,96252,22299,1306,0,7300,52,67.16,3.2050000000000005
Acadia National Park,ACAD,National Park,Northeast ,ME,2006,9,330649,7500,1545327,7500,0,0,13476,5277,204,0,1037,Acadia NP,ACAD,National Park,Northeast ,ME,2006,2083588,47100,10720555,47100,0,0,96252,22299,1306,0,7300,30,59.709999999999994,4.158
Acadia National Park,ACAD,National Park,Northeast ,ME,2006,10,249850,6000,1333269,6000,0,0,4725,2295,56,0,160,Acadia NP,ACAD,National Park,Northeast ,ME,2006,2083588,47100,10720555,47100,0,0,96252,22299,1306,0,7300,21,49.25,5.0520000000000005
Acadia National Park,ACAD,National Park,Northeast ,ME,2006,11,33903,600,203418,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2006,2083588,47100,10720555,47100,0,0,96252,22299,1306,0,7300,11,36.709999999999994,5.1259999999999994
Acadia National Park,ACAD,National Park,Northeast ,ME,2006,12,13353,600,80117,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2006,2083588,47100,10720555,47100,0,0,96252,22299,1306,0,7300,12,27.479999999999997,5.656000000000001
Acadia National Park,ACAD,National Park,Northeast ,ME,2007,1,12415,600,81938,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2007,2202228,47100,11331597,47100,0,0,98586,23280,1091,0,7352,15,22.3,3.910999999999999
Acadia National Park,ACAD,National Park,Northeast ,ME,2007,2,11068,600,73046,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2007,2202228,47100,11331597,47100,0,0,98586,23280,1091,0,7352,18,23.3,3.908
Acadia National Park,ACAD,National Park,Northeast ,ME,2007,3,19220,600,126849,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2007,2202228,47100,11331597,47100,0,0,98586,23280,1091,0,7352,24,30.819999999999993,3.3590000000000004
Acadia National Park,ACAD,National Park,Northeast ,ME,2007,4,61775,600,358295,600,0,0,171,87,0,0,60,Acadia NP,ACAD,National Park,Northeast ,ME,2007,2202228,47100,11331597,47100,0,0,98586,23280,1091,0,7352,24,41.599999999999994,4.482
Acadia National Park,ACAD,National Park,Northeast ,ME,2007,5,132152,7500,757674,7500,0,0,5445,1008,59,0,495,Acadia NP,ACAD,National Park,Northeast ,ME,2007,2202228,47100,11331597,47100,0,0,98586,23280,1091,0,7352,46,52.17999999999999,3.817
Acadia National Park,ACAD,National Park,Northeast ,ME,2007,6,273765,7500,1564509,7500,0,0,11919,2691,198,0,836,Acadia NP,ACAD,National Park,Northeast ,ME,2007,2202228,47100,11331597,47100,0,0,98586,23280,1091,0,7352,45,60.84999999999999,4.831000000000001
Acadia National Park,ACAD,National Park,Northeast ,ME,2007,7,461894,7500,2264711,7500,0,0,27162,5478,284,0,2625,Acadia NP,ACAD,National Park,Northeast ,ME,2007,2202228,47100,11331597,47100,0,0,98586,23280,1091,0,7352,54,67.55,3.0090000000000003
Acadia National Park,ACAD,National Park,Northeast ,ME,2007,8,544892,7500,2675199,7500,0,0,35421,5979,358,0,2428,Acadia NP,ACAD,National Park,Northeast ,ME,2007,2202228,47100,11331597,47100,0,0,98586,23280,1091,0,7352,47,67.16,3.2050000000000005
Acadia National Park,ACAD,National Park,Northeast ,ME,2007,9,371217,7500,1724744,7500,0,0,13368,5715,166,0,659,Acadia NP,ACAD,National Park,Northeast ,ME,2007,2202228,47100,11331597,47100,0,0,98586,23280,1091,0,7352,29,59.709999999999994,4.158
Acadia National Park,ACAD,National Park,Northeast ,ME,2007,10,263311,6000,1401519,6000,0,0,5100,2322,26,0,249,Acadia NP,ACAD,National Park,Northeast ,ME,2007,2202228,47100,11331597,47100,0,0,98586,23280,1091,0,7352,20,49.25,5.0520000000000005
Acadia National Park,ACAD,National Park,Northeast ,ME,2007,11,41449,600,248695,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2007,2202228,47100,11331597,47100,0,0,98586,23280,1091,0,7352,13,36.709999999999994,5.1259999999999994
Acadia National Park,ACAD,National Park,Northeast ,ME,2007,12,9070,600,54418,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2007,2202228,47100,11331597,47100,0,0,98586,23280,1091,0,7352,11,27.479999999999997,5.656000000000001
Acadia National Park,ACAD,National Park,Northeast ,ME,2008,1,10744,600,70910,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2008,2075857,47100,10635395,47100,0,0,101028,21198,1229,0,6698,16,22.3,3.910999999999999
Acadia National Park,ACAD,National Park,Northeast ,ME,2008,2,11131,600,73463,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2008,2075857,47100,10635395,47100,0,0,101028,21198,1229,0,6698,13,23.3,3.908
Acadia National Park,ACAD,National Park,Northeast ,ME,2008,3,17489,600,115426,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2008,2075857,47100,10635395,47100,0,0,101028,21198,1229,0,6698,17,30.819999999999993,3.3590000000000004
Acadia National Park,ACAD,National Park,Northeast ,ME,2008,4,53798,600,312027,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2008,2075857,47100,10635395,47100,0,0,101028,21198,1229,0,6698,27,41.599999999999994,4.482
Acadia National Park,ACAD,National Park,Northeast ,ME,2008,5,125679,7500,720213,7500,0,0,5328,927,53,0,358,Acadia NP,ACAD,National Park,Northeast ,ME,2008,2075857,47100,10635395,47100,0,0,101028,21198,1229,0,6698,31,52.17999999999999,3.817
Acadia National Park,ACAD,National Park,Northeast ,ME,2008,6,263542,7500,1506391,7500,0,0,13242,3138,171,0,1269,Acadia NP,ACAD,National Park,Northeast ,ME,2008,2075857,47100,10635395,47100,0,0,101028,21198,1229,0,6698,40,60.84999999999999,4.831000000000001
Acadia National Park,ACAD,National Park,Northeast ,ME,2008,7,470295,7500,2304254,7500,0,0,30990,4668,389,0,2207,Acadia NP,ACAD,National Park,Northeast ,ME,2008,2075857,47100,10635395,47100,0,0,101028,21198,1229,0,6698,42,67.55,3.0090000000000003
Acadia National Park,ACAD,National Park,Northeast ,ME,2008,8,514443,7500,2503350,7500,0,0,34911,6051,369,0,2114,Acadia NP,ACAD,National Park,Northeast ,ME,2008,2075857,47100,10635395,47100,0,0,101028,21198,1229,0,6698,38,67.16,3.2050000000000005
Acadia National Park,ACAD,National Park,Northeast ,ME,2008,9,319582,7500,1469491,7500,0,0,11214,4680,125,0,577,Acadia NP,ACAD,National Park,Northeast ,ME,2008,2075857,47100,10635395,47100,0,0,101028,21198,1229,0,6698,20,59.709999999999994,4.158
Acadia National Park,ACAD,National Park,Northeast ,ME,2008,10,246533,6000,1304145,6000,0,0,5343,1734,122,0,173,Acadia NP,ACAD,National Park,Northeast ,ME,2008,2075857,47100,10635395,47100,0,0,101028,21198,1229,0,6698,16,49.25,5.0520000000000005
Acadia National Park,ACAD,National Park,Northeast ,ME,2008,11,32759,600,196553,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2008,2075857,47100,10635395,47100,0,0,101028,21198,1229,0,6698,11,36.709999999999994,5.1259999999999994
Acadia National Park,ACAD,National Park,Northeast ,ME,2008,12,9862,600,59172,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2008,2075857,47100,10635395,47100,0,0,101028,21198,1229,0,6698,10,27.479999999999997,5.656000000000001
Acadia National Park,ACAD,National Park,Northeast ,ME,2009,1,9366,600,61813,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2009,2227698,47100,11447560,47100,0,0,105042,22755,1037,0,7212,13,22.3,3.910999999999999
Acadia National Park,ACAD,National Park,Northeast ,ME,2009,2,9751,600,64358,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2009,2227698,47100,11447560,47100,0,0,105042,22755,1037,0,7212,13,23.3,3.908
Acadia National Park,ACAD,National Park,Northeast ,ME,2009,3,19258,600,127103,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2009,2227698,47100,11447560,47100,0,0,105042,22755,1037,0,7212,16,30.819999999999993,3.3590000000000004
Acadia National Park,ACAD,National Park,Northeast ,ME,2009,4,59277,600,343809,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2009,2227698,47100,11447560,47100,0,0,105042,22755,1037,0,7212,18,41.599999999999994,4.482
Acadia National Park,ACAD,National Park,Northeast ,ME,2009,5,129885,7500,746909,7500,0,0,5958,1104,52,0,441,Acadia NP,ACAD,National Park,Northeast ,ME,2009,2227698,47100,11447560,47100,0,0,105042,22755,1037,0,7212,32,52.17999999999999,3.817
Acadia National Park,ACAD,National Park,Northeast ,ME,2009,6,244780,7500,1392499,7500,0,0,12210,3111,128,0,989,Acadia NP,ACAD,National Park,Northeast ,ME,2009,2227698,47100,11447560,47100,0,0,105042,22755,1037,0,7212,40,60.84999999999999,4.831000000000001
Acadia National Park,ACAD,National Park,Northeast ,ME,2009,7,457622,7500,2247462,7500,0,0,28551,5376,346,0,2434,Acadia NP,ACAD,National Park,Northeast ,ME,2009,2227698,47100,11447560,47100,0,0,105042,22755,1037,0,7212,49,67.55,3.0090000000000003
Acadia National Park,ACAD,National Park,Northeast ,ME,2009,8,586446,7500,2895445,7500,0,0,36180,5664,299,0,2175,Acadia NP,ACAD,National Park,Northeast ,ME,2009,2227698,47100,11447560,47100,0,0,105042,22755,1037,0,7212,62,67.16,3.2050000000000005
Acadia National Park,ACAD,National Park,Northeast ,ME,2009,9,399789,7500,1851687,7500,0,0,17079,5637,212,0,901,Acadia NP,ACAD,National Park,Northeast ,ME,2009,2227698,47100,11447560,47100,0,0,105042,22755,1037,0,7212,80,59.709999999999994,4.158
Acadia National Park,ACAD,National Park,Northeast ,ME,2009,10,258007,6000,1395369,6000,0,0,5064,1863,0,0,272,Acadia NP,ACAD,National Park,Northeast ,ME,2009,2227698,47100,11447560,47100,0,0,105042,22755,1037,0,7212,25,49.25,5.0520000000000005
Acadia National Park,ACAD,National Park,Northeast ,ME,2009,11,44042,600,264255,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2009,2227698,47100,11447560,47100,0,0,105042,22755,1037,0,7212,12,36.709999999999994,5.1259999999999994
Acadia National Park,ACAD,National Park,Northeast ,ME,2009,12,9475,600,56851,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2009,2227698,47100,11447560,47100,0,0,105042,22755,1037,0,7212,10,27.479999999999997,5.656000000000001
Acadia National Park,ACAD,National Park,Northeast ,ME,2010,1,10510,600,69363,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2010,2504208,47100,12827516,47100,0,0,121287,28821,974,0,8549,16,22.3,3.910999999999999
Acadia National Park,ACAD,National Park,Northeast ,ME,2010,2,13398,600,88427,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2010,2504208,47100,12827516,47100,0,0,121287,28821,974,0,8549,18,23.3,3.908
Acadia National Park,ACAD,National Park,Northeast ,ME,2010,3,26080,600,172125,600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2010,2504208,47100,12827516,47100,0,0,121287,28821,974,0,8549,19,30.819999999999993,3.3590000000000004
Acadia National Park,ACAD,National Park,Northeast ,ME,2010,4,57992,600,336355,600,0,0,537,162,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2010,2504208,47100,12827516,47100,0,0,121287,28821,974,0,8549,29,41.599999999999994,4.482
Acadia National Park,ACAD,National Park,Northeast ,ME,2010,5,169898,7500,976316,7500,0,0,7743,2064,72,0,597,Acadia NP,ACAD,National Park,Northeast ,ME,2010,2504208,47100,12827516,47100,0,0,121287,28821,974,0,8549,34,52.17999999999999,3.817
Acadia National Park,ACAD,National Park,Northeast ,ME,2010,6,286635,7500,1641129,7500,0,0,15909,3357,153,0,1347,Acadia NP,ACAD,National Park,Northeast ,ME,2010,2504208,47100,12827516,47100,0,0,121287,28821,974,0,8549,46,60.84999999999999,4.831000000000001
Acadia National Park,ACAD,National Park,Northeast ,ME,2010,7,545382,7500,2666213,7500,0,0,35916,7500,335,0,2645,Acadia NP,ACAD,National Park,Northeast ,ME,2010,2504208,47100,12827516,47100,0,0,121287,28821,974,0,8549,62,67.55,3.0090000000000003
Acadia National Park,ACAD,National Park,Northeast ,ME,2010,8,627918,7500,3071414,7500,0,0,37995,7248,313,0,2514,Acadia NP,ACAD,National Park,Northeast ,ME,2010,2504208,47100,12827516,47100,0,0,121287,28821,974,0,8549,50,67.16,3.2050000000000005
Acadia National Park,ACAD,National Park,Northeast ,ME,2010,9,431001,7500,1985058,7500,0,0,17229,6108,0,0,1124,Acadia NP,ACAD,National Park,Northeast ,ME,2010,2504208,47100,12827516,47100,0,0,121287,28821,974,0,8549,30,59.709999999999994,4.158
Acadia National Park,ACAD,National Park,Northeast ,ME,2010,10,289114,6000,1543440,6000,0,0,5958,2382,101,0,322,Acadia NP,ACAD,National Park,Northeast ,ME,2010,2504208,47100,12827516,47100,0,0,121287,28821,974,0,8549,21,49.25,5.0520000000000005
