Month,Acadia National Park,Arches National Park,Badlands National Park,Big Bend National Park,Biscayne National Park,Black Canyon of the Gunnison National Park,Bryce Canyon National Park,Canyonlands National Park,Capitol Reef National Park,Carlsbad Caverns National Park,Channel Islands National Park,Congaree National Park,Crater Lake National Park,Cuyahoga Valley National Park,Death Valley National Park,Denali National Park,Dry Tortugas National Park,Everglades National Park,Gates of the Arctic National Park,Gateway Arch National Park,Glacier Bay National Park,Glacier National Park,Grand Canyon National Park,Grand Teton National Park,Great Basin National Park,Great Sand Dunes National Park,Great Smoky Mountains National Park,Guadalupe Mountains National Park,Haleakala National Park,Hawaii Volcanoes National Park,Hot Springs National Park,Indiana Dunes National Park,Isle Royale National Park,Joshua Tree National Park,Katmai National Park,Kenai Fjords National Park,Kings Canyon National Park,Kobuk Valley National Park,Lake Clark National Park,Lassen Volcanic National Park,Mammoth Cave National Park,Mesa Verde National Park,Mount Rainier National Park,National Park of American Samoa,New River Gorge National Park,North Cascades National Park,Olympic National Park,Petrified Forest National Park,Pinnacles National Park,Redwood National Park,Rocky Mountain National Park,Saguaro National Park,Sequoia National Park,Shenandoah National Park,Theodore Roosevelt National Park,Virgin Islands National Park,Voyageurs National Park,White Sands National Park,Wind Cave National Park,Wrangell-St. Elias National Park,Yellowstone National Park,Yosemite National Park,Zion National Park
1,3.910999999999999,0.367,0.364,0.489,2.181,1.316,1.8980000000000001,0.5820000000000001,0.39,0.45499999999999996,2.678,3.4529999999999994,9.637,2.664,0.23399999999999999,0.6010000000000001,2.048,2.0119999999999996,0.6759999999999999,2.446,7.594000000000001,8.949000000000002,0.923,4.23,1.19,0.44299999999999995,6.651999999999999,0.45499999999999996,1.9329999999999998,6.462999999999999,2.677,2.2670000000000003,1.08,0.48200000000000004,3.0430000000000006,3.0430000000000006,4.516,0.508,0.8549999999999999,5.333,3.9690000000000003,1.825,7.036,15.294,3.086,11.989,7.412999999999999,0.679,3.071,7.329000000000001,2.92,0.7889999999999999,4.250000000000001,2.4570000000000003,0.4490000000000001,2.1790000000000003,1.025,0.516,0.37700000000000006,1.2580000000000002,2.43,4.516,2.288
2,3.908,0.33099999999999996,0.49499999999999994,0.41200000000000003,1.7149999999999999,1.925,1.828,0.7070000000000001,0.38700000000000007,0.246,1.6039999999999999,4.315,8.153,2.483,0.19,0.9470000000000001,1.964,1.2109999999999999,1.0790000000000002,2.003,4.119,8.186,0.698,4.345999999999999,1.116,0.546,6.703999999999999,0.246,4.157,3.7239999999999993,4.702,2.2649999999999997,1.168,0.33399999999999996,2.3979999999999997,2.3979999999999997,3.7769999999999997,0.732,1.2650000000000001,4.43,5.974,1.6149999999999998,8.5,17.708,4.3020000000000005,9.197,5.421,0.525,2.333,6.103999999999999,4.02,0.5980000000000001,3.6739999999999995,2.4379999999999997,0.5379999999999999,2.222,0.9810000000000001,0.347,0.8009999999999999,1.067,2.903,3.7769999999999997,1.886
3,3.3590000000000004,0.422,1.1,0.24900000000000003,1.022,1.636,1.906,0.827,0.5449999999999999,0.388,1.8130000000000002,3.283,8.217000000000002,3.225,0.26599999999999996,0.841,1.195,1.1440000000000001,0.7470000000000001,3.4900000000000007,3.198,9.815000000000001,0.7,3.913000000000001,1.714,0.7550000000000001,7.242999999999999,0.388,4.207,9.107,4.761,2.51,1.447,0.21999999999999997,1.4039999999999997,1.4039999999999997,3.2990000000000004,0.5940000000000001,0.916,5.93,5.705,1.145,6.306,8.977,3.746,9.46,6.019,0.678,2.22,7.016000000000001,3.2670000000000003,0.398,3.249,1.943,0.679,1.9739999999999998,1.263,0.33999999999999997,1.009,0.619,2.494,3.2990000000000004,1.9489999999999998
4,4.482,0.495,2.3449999999999998,0.40700000000000003,3.6050000000000004,1.4729999999999999,1.2040000000000002,0.5750000000000002,0.37499999999999994,0.513,0.46799999999999986,3.8550000000000004,4.856,3.743,0.118,0.604,2.6669999999999994,2.75,0.519,5.099,3.0919999999999996,5.063999999999999,0.24099999999999996,4.319999999999999,1.285,0.891,6.82,0.513,2.902,4.281999999999999,5.474,4.456999999999999,2.3729999999999998,0.08700000000000001,1.3139999999999998,1.3139999999999998,1.9539999999999995,0.506,0.6749999999999999,2.37,4.702000000000001,0.8480000000000002,5.248,14.026,3.5780000000000003,4.616999999999999,3.559,0.393,1.238,3.251,4.5120000000000005,0.145,2.143,3.5149999999999997,1.4889999999999999,1.732,1.6319999999999997,0.242,2.1830000000000003,0.269,2.184,1.9539999999999995,0.908
5,3.817,0.624,3.8029999999999995,1.3399999999999999,5.951,1.6310000000000002,1.157,0.7300000000000002,0.6969999999999998,0.889,0.176,4.272,2.637,4.132,0.041,1.8279999999999998,4.752999999999999,4.546,0.829,4.654,4.337000000000001,3.745,0.48600000000000004,3.558,1.292,1.443,6.598000000000001,0.889,2.391,2.572,6.149000000000001,5.853999999999999,2.5909999999999997,0.020999999999999998,0.9480000000000001,0.9480000000000001,1.438,0.563,0.6610000000000001,1.3059999999999998,4.819,1.15,4.255,11.492999999999999,4.451,2.582,2.0189999999999997,0.42700000000000005,0.367,1.611,4.095,0.05900000000000001,1.438,3.8729999999999998,2.7470000000000003,3.0929999999999995,2.8419999999999996,0.43500000000000005,3.5810000000000004,0.858,2.4240000000000004,1.438,0.9890000000000001
6,4.831000000000001,0.31100000000000005,3.564999999999999,1.654,6.0200000000000005,0.414,0.34,0.3969999999999999,0.266,1.3399999999999999,0.02,4.814,1.6990000000000003,5.072,0.014000000000000002,3.6699999999999995,4.712000000000001,12.727,1.5189999999999997,4.256000000000001,4.16,5.134,0.16999999999999998,1.581,0.42300000000000004,0.7449999999999999,7.239999999999999,1.3399999999999999,1.0989999999999998,1.607,4.452,5.083,3.739,0.0,1.8549999999999998,1.8549999999999998,0.27,1.7679999999999996,1.6960000000000002,0.5509999999999999,4.979,0.49000000000000005,3.745,8.565999999999999,4.918,2.2630000000000003,1.7299999999999998,0.238,0.0,0.777,1.119,0.382,0.3,5.271,1.8719999999999999,2.1160000000000005,4.048,0.662,3.409,1.555,1.767,0.27,0.25
7,3.0090000000000003,0.772,2.3560000000000003,1.536,4.917,1.861,2.748,1.094,1.8169999999999997,1.625,0.059,6.617000000000002,0.3,4.260000000000001,0.267,4.880999999999999,6.045,7.351999999999999,3.136,4.254,4.587000000000001,1.3889999999999998,1.2970000000000002,1.118,1.158,1.893,7.212999999999999,1.625,2.1420000000000003,4.212000000000001,3.303,4.069000000000001,3.3800000000000012,0.7369999999999999,2.1799999999999997,2.1799999999999997,0.728,2.4619999999999997,2.815,0.392,5.991,1.791,1.0699999999999998,8.899,4.800999999999999,1.016,0.298,2.2569999999999997,0.0,0.165,2.807,2.707,0.748,4.121999999999999,1.8780000000000001,2.399,3.463,1.577,3.6790000000000007,1.6940000000000002,0.9890000000000001,0.728,2.1569999999999996
8,3.2050000000000005,0.789,2.05,1.6170000000000002,6.167,1.5219999999999998,2.8370000000000006,1.1169999999999998,0.9399999999999998,1.5,0.009,5.943,0.38000000000000006,3.88,0.133,5.715000000000001,5.141000000000001,7.935,3.907000000000001,4.8919999999999995,6.696,1.9970000000000003,1.672,1.793,1.0950000000000002,1.8960000000000001,6.642,1.5,2.679,6.205,4.135,4.1209999999999996,2.7969999999999997,0.47000000000000003,3.123,3.123,0.588,2.761,3.739,0.136,4.492999999999999,1.5769999999999997,1.4200000000000002,7.953,4.324999999999999,1.5030000000000001,0.9329999999999998,1.14,0.023,0.125,1.4469999999999998,2.076,0.678,3.9210000000000007,1.9290000000000003,4.589,3.119,1.875,2.131,2.373,1.309,0.588,2.226
9,4.158,0.746,1.593,2.05,6.745,2.1469999999999994,2.1479999999999997,1.019,1.398,2.522,0.05700000000000001,4.805,2.536,3.957,0.123,2.691,6.81,8.956999999999999,3.4450000000000003,3.278,8.628,3.479,0.9339999999999999,3.3680000000000008,1.101,1.1949999999999998,5.324,2.522,3.042,3.507,2.771,3.05,3.09,0.21200000000000005,5.556,5.556,0.43099999999999994,1.6930000000000003,3.683,0.561,3.8129999999999997,1.599,3.9440000000000004,6.851000000000001,3.115,4.581999999999999,2.596,1.027,0.017,1.5020000000000002,2.347,0.875,0.45899999999999996,3.7980000000000005,2.306,4.170999999999999,2.955,1.7870000000000001,1.5369999999999997,2.085,1.8969999999999998,0.43099999999999994,2.027
10,5.0520000000000005,0.8309999999999998,1.934,0.682,6.617,1.5110000000000001,1.3960000000000001,1.0210000000000001,0.5399999999999999,1.489,0.24099999999999996,4.101000000000001,4.755999999999999,4.606,0.20099999999999998,1.781,4.029,3.4530000000000003,1.514,2.8729999999999998,8.248999999999999,6.984999999999999,0.7210000000000001,3.9610000000000007,0.884,0.718,6.2559999999999985,1.489,2.5170000000000003,4.6,3.3289999999999997,5.526000000000001,2.655,0.194,4.172,4.172,1.393,0.993,2.269,2.3200000000000003,4.050000000000001,0.905,6.946,9.169,3.6639999999999993,10.012,6.035000000000001,0.8700000000000001,0.884,3.3280000000000003,2.625,0.7209999999999999,1.0429999999999997,3.5119999999999996,1.4719999999999998,4.947000000000001,2.5629999999999997,0.8459999999999999,1.4739999999999998,1.472,1.9939999999999998,1.393,1.3989999999999998
