Month,Acadia National Park,Arches National Park,Badlands National Park,Big Bend National Park,Biscayne National Park,Black Canyon of the Gunnison National Park,Bryce Canyon National Park,Canyonlands National Park,Capitol Reef National Park,Carlsbad Caverns National Park,Channel Islands National Park,Congaree National Park,Crater Lake National Park,Cuyahoga Valley National Park,Death Valley National Park,Denali National Park,Dry Tortugas National Park,Everglades National Park,Gates of the Arctic National Park,Gateway Arch National Park,Glacier Bay National Park,Glacier National Park,Grand Canyon National Park,Grand Teton National Park,Great Basin National Park,Great Sand Dunes National Park,Great Smoky Mountains National Park,Guadalupe Mountains National Park,Haleakala National Park,Hawaii Volcanoes National Park,Hot Springs National Park,Indiana Dunes National Park,Isle Royale National Park,Joshua Tree National Park,Katmai National Park,Kenai Fjords National Park,Kings Canyon National Park,Kobuk Valley National Park,Lake Clark National Park,Lassen Volcanic National Park,Mammoth Cave National Park,Mesa Verde National Park,Mount Rainier National Park,National Park of American Samoa,New River Gorge National Park,North Cascades National Park,Olympic National Park,Petrified Forest National Park,Pinnacles National Park,Redwood National Park,Rocky Mountain National Park,Saguaro National Park,Sequoia National Park,Shenandoah National Park,Theodore Roosevelt National Park,Virgin Islands National Park,Voyageurs National Park,White Sands National Park,Wind Cave National Park,Wrangell-St. Elias National Park,Yellowstone National Park,Yosemite National Park,Zion National Park
1,22.3,27.369999999999997,27.329999999999995,48.64,69.83,24.14,30.690000000000005,27.96,30.4,40.290000000000006,56.830000000000005,47.309999999999995,30.9,29.299999999999994,55.230000000000004,5.17,70.11999999999999,66.15,-5.03,33.24,31.650000000000006,25.389999999999997,32.43,13.160000000000002,27.23,24.55,31.200000000000006,40.290000000000006,61.15,58.470000000000006,43.17999999999999,26.73,16.66,41.56,19.590000000000003,22.41,44.46999999999999,-6.37,11.15,35.56,38.64999999999999,28.720000000000006,40.949999999999996,82.61999999999999,32.36,36.45,38.17999999999999,35.33,48.39,48.31,28.46,53.529999999999994,45.82000000000001,33.88,21.91,78.34,6.82,39.35,27.28,12.209999999999997,15.009999999999996,47.79,31.139999999999997
2,23.3,37.07,25.640000000000004,53.919999999999995,73.01,27.619999999999997,30.939999999999998,33.339999999999996,37.03000000000001,45.21999999999999,56.07000000000001,50.78000000000001,29.8,30.07,61.99000000000001,10.110000000000001,72.97,70.32,-0.7499999999999997,35.00000000000001,30.74,21.119999999999997,33.089999999999996,17.82,27.840000000000003,27.610000000000003,35.279999999999994,45.21999999999999,61.36,57.92,45.72,27.78,15.55,42.06,23.86,25.910000000000004,44.279999999999994,0.39000000000000024,18.93,35.21,42.18,31.359999999999996,37.269999999999996,82.74,35.89,37.040000000000006,35.97,39.95,49.67,47.410000000000004,26.9,56.089999999999996,45.059999999999995,36.95,19.339999999999996,78.69999999999999,6.26,45.12,23.39,14.639999999999997,16.36,48.279999999999994,32.96999999999999
3,30.819999999999993,47.660000000000004,39.940000000000005,60.6,73.84,35.63,36.81000000000001,42.21,45.92,53.58,57.260000000000005,57.169999999999995,32.66,39.459999999999994,70.28,13.61,74.14,71.1,6.159999999999999,47.03,33.529999999999994,30.71,38.64,25.599999999999998,34.25,35.07000000000001,40.97,53.58,61.35999999999999,58.379999999999995,55.480000000000004,40.4,27.79,45.77,23.759999999999998,29.0,46.629999999999995,11.21,19.29,37.49,51.29,39.85,40.92,82.91999999999999,43.6,42.08999999999999,39.72,47.17999999999999,52.65,48.580000000000005,34.78000000000001,62.23,47.019999999999996,43.64,34.51,78.53999999999999,24.330000000000002,52.58,35.43,18.01,24.719999999999995,51.279999999999994,39.220000000000006
4,41.599999999999994,54.620000000000005,46.260000000000005,66.55999999999999,78.26,42.82000000000001,42.37,48.38,52.69,60.77,59.489999999999995,64.83000000000001,37.64999999999999,49.66,79.94000000000001,28.57,78.21,75.80000000000001,22.87,56.370000000000005,40.65,37.63,44.839999999999996,34.279999999999994,40.17,39.940000000000005,48.08,60.77,63.11,60.279999999999994,62.27,49.96,36.540000000000006,51.61,36.36,38.7,52.46999999999999,32.220000000000006,33.45,42.95,60.28000000000001,46.540000000000006,44.88000000000001,82.37,53.2,49.779999999999994,44.08,53.92,57.10000000000001,50.760000000000005,39.04,68.87,52.40000000000001,53.58,42.18,80.03999999999999,36.11,59.25999999999999,40.67,29.940000000000005,32.09,57.1,45.290000000000006
5,52.17999999999999,64.29,56.410000000000004,73.13000000000001,80.4,51.53000000000001,49.45,58.040000000000006,60.730000000000004,69.47,60.39,72.75,43.85,61.89,87.7,42.49,80.35,78.81000000000002,41.260000000000005,67.36999999999999,48.43000000000001,45.8,51.18,44.28000000000001,47.459999999999994,47.269999999999996,56.27,69.47,64.10000000000001,61.2,70.92,62.249999999999986,46.55,56.61,45.44,47.51,58.35000000000001,49.55,44.160000000000004,49.31,69.5,54.470000000000006,50.81,81.98,62.5,58.03000000000001,51.36,61.1,61.14000000000001,52.720000000000006,46.88,75.53999999999999,57.55,63.250000000000014,53.93000000000001,81.46,50.739999999999995,66.68999999999998,49.839999999999996,41.06,41.75,63.44,51.6
6,60.84999999999999,76.91000000000001,69.79,78.12,83.50999999999999,63.21,62.519999999999996,72.63,74.59,79.72000000000001,64.13000000000001,79.52,50.38,70.57000000000001,99.97,52.279999999999994,82.96,82.55,53.669999999999995,76.38000000000001,53.879999999999995,52.55999999999999,64.16,53.82000000000001,59.73,58.43000000000001,62.65,79.72000000000001,65.89,63.17,79.49,72.6,54.160000000000004,67.31,53.19,54.93000000000001,70.16,60.27,52.15,57.85,76.52000000000001,68.21000000000001,54.589999999999996,81.36,68.58000000000001,61.589999999999996,55.15999999999999,73.66999999999999,69.08000000000001,55.73,59.260000000000005,86.78000000000002,69.78,70.53,65.39999999999999,83.1,61.35,78.36,62.56,47.83,51.05,73.59,63.68000000000001
7,67.55,82.33999999999999,75.57999999999998,77.77,84.8,67.57000000000001,65.19000000000001,76.72999999999999,78.10999999999999,81.32000000000001,67.78999999999999,82.67,58.21999999999999,74.65,104.76000000000002,54.879999999999995,84.07000000000001,83.86999999999999,55.80999999999999,79.17,57.220000000000006,60.239999999999995,66.8,60.64000000000001,65.84,61.339999999999996,66.02999999999999,81.32000000000001,67.2,65.27000000000001,82.57000000000001,76.72,62.27,71.77,57.36999999999999,59.3,75.41,62.06999999999999,55.21,63.60999999999999,79.50000000000001,70.94,60.21999999999999,80.51,72.2,67.13000000000001,61.45,76.51,72.92999999999999,57.64,63.4,86.99999999999999,75.94,75.47,72.29,83.69000000000001,66.04999999999998,80.32,68.32,51.85999999999999,58.779999999999994,79.77000000000001,67.33
8,67.16,78.88999999999999,72.76,77.44,85.12,65.83999999999999,63.529999999999994,74.46000000000001,76.02,79.94999999999999,68.62,81.19,57.65999999999999,72.95,102.88999999999999,50.26,84.46,84.58000000000001,49.12,76.64999999999999,55.88000000000001,58.64,65.02,58.59000000000001,63.82000000000001,59.370000000000005,64.52000000000001,79.94999999999999,67.93999999999998,65.75,81.46000000000001,75.50000000000001,62.730000000000004,71.07000000000001,55.459999999999994,56.629999999999995,74.84,56.69,52.010000000000005,62.68000000000001,77.78999999999999,69.22999999999999,61.79,80.62,70.52000000000001,68.24000000000001,62.769999999999996,74.46000000000001,73.21000000000001,58.08999999999999,61.239999999999995,86.07000000000001,75.99,73.0,69.33000000000001,83.88,62.88000000000001,78.64999999999999,65.8,48.5,57.0,78.86999999999999,65.44
9,59.709999999999994,70.37,65.28,72.1,84.21,59.06999999999999,57.69000000000001,66.94,68.26,72.96,68.95,76.54,51.059999999999995,67.32000000000001,94.00000000000001,40.309999999999995,83.01,83.44000000000001,37.8,71.21000000000001,50.809999999999995,50.129999999999995,59.14,50.33,55.95,55.019999999999996,60.8,72.96,67.87,64.59,76.95000000000002,69.35,56.379999999999995,65.34,47.9,48.6,69.35,45.309999999999995,44.08,57.209999999999994,73.0,62.77,56.84000000000001,81.57000000000001,66.0,61.260000000000005,56.629999999999995,68.53,69.4,57.23,55.9,81.89999999999999,70.29999999999998,67.35000000000001,60.69,83.67999999999999,55.230000000000004,72.08000000000001,59.11,40.82,49.03,73.03,59.339999999999996
10,49.25,55.029999999999994,49.42999999999999,66.61000000000001,81.93,45.300000000000004,46.36,51.86999999999999,54.17999999999999,61.07000000000001,66.0,67.05,42.14,56.239999999999995,78.64,26.2,80.94,80.08000000000001,23.029999999999998,58.57000000000001,41.89999999999999,38.88,48.92,37.790000000000006,43.7,43.93000000000001,52.21999999999999,61.07000000000001,66.87,64.03999999999999,64.83000000000001,55.49000000000001,44.650000000000006,56.05,37.76,38.519999999999996,59.15,29.03,34.33,47.95,62.73,50.35,49.64,82.1,55.54,50.58,48.25,56.410000000000004,61.760000000000005,54.44,43.86,72.57000000000002,60.46999999999999,57.06,44.68,83.02999999999999,41.66,60.85999999999999,44.11,30.05,35.63,62.910000000000004,48.37
